,date,title,category,victim,responsible,url,sentence
14,2023-10-08 17:46:54,An Israeli airstrike kills 19 members of the same family in a southern Gaza refugee camp,Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/an-israeli-airstrike-kills-19-members-of-the-same-family-in-a-southern-gaza-refugee/article_8bfba972-bfb7-50ed-8a35-1c4951afe39e.html,"In past wars and rounds of fighting between Israel and Hamas militants, individual Israeli airstrikes have killed great numbers of civilians — for instance, 22 members of the same family in a single strike in a bloody 2021 war."
15,2023-10-08 17:46:54,An Israeli airstrike kills 19 members of the same family in a southern Gaza refugee camp,Middle East,Palestinian,Neither,https://www.thestar.com/news/world/middle-east/an-israeli-airstrike-kills-19-members-of-the-same-family-in-a-southern-gaza-refugee/article_8bfba972-bfb7-50ed-8a35-1c4951afe39e.html,"So far, the waves of airstrikes had killed over 400 Palestinians, including dozens of women and children, health officials reported Sunday."
16,2023-10-08 17:46:54,An Israeli airstrike kills 19 members of the same family in a southern Gaza refugee camp,Middle East,Israeli,Hamas,https://www.thestar.com/news/world/middle-east/an-israeli-airstrike-kills-19-members-of-the-same-family-in-a-southern-gaza-refugee/article_8bfba972-bfb7-50ed-8a35-1c4951afe39e.html,"The airstrike in Rafah, a southern town on the border with Egypt, came as Israeli forces intensified their bombardment of targets in the Gaza Strip following a big, multi-front attack by Hamas militants Saturday that had killed over 700 people in Israel by Sunday night."
17,2023-10-08 17:46:54,An Israeli airstrike kills 19 members of the same family in a southern Gaza refugee camp,Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/an-israeli-airstrike-kills-19-members-of-the-same-family-in-a-southern-gaza-refugee/article_8bfba972-bfb7-50ed-8a35-1c4951afe39e.html,"The airstrike also killed five of his neighbors who were standing outside in the jam-packed refugee camp, a jumble of buildings and alleyways."
18,2023-10-08 20:14:53,"US demands condemnation of Hamas at UN meeting, but Security Council takes no immediate action",World,Neither,Neither,https://www.thestar.com/news/world/us-demands-condemnation-of-hamas-at-un-meeting-but-security-council-takes-no-immediate-action/article_0b65eba0-a362-5266-bd38-ad1abf36e258.html,"That could happen in the coming days, if differences over condemning Hamas and condemning civilian deaths can be bridged, along with agreement on possible language on ending the violence and resuming negotiations."
19,2023-10-08 20:14:53,"US demands condemnation of Hamas at UN meeting, but Security Council takes no immediate action",World,Neither,Neither,https://www.thestar.com/news/world/us-demands-condemnation-of-hamas-at-un-meeting-but-security-council-takes-no-immediate-action/article_0b65eba0-a362-5266-bd38-ad1abf36e258.html,"This is a time to tell Israel it needs to change course — that there is a path to peace, where neither Israelis nor Palestinians are killed."
20,2023-10-08 20:14:53,"US demands condemnation of Hamas at UN meeting, but Security Council takes no immediate action",World,Neither,Hamas,https://www.thestar.com/news/world/us-demands-condemnation-of-hamas-at-un-meeting-but-security-council-takes-no-immediate-action/article_0b65eba0-a362-5266-bd38-ad1abf36e258.html,"Wood called the situation “still fluid and very dangerous,” stressing that the Biden administration is “working hard, as I know other countries in the region are, to try to prevent this conflict from spreading.” Israeli Ambassador Gilad Erdan told reporters before the meeting that Hamas had carried out a surprise “barbaric pogrom” and accused the militant group of “blatant, documented war crimes.” “These animal-like terrorists broke into homes gathered entire families into rooms and shot them point blank, as if they were stomping on insects,” he said."
21,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Both,Neither,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,At least 700 people have reportedly been killed in Israel — a staggering toll on a scale the country has not experienced in decades — and more than 400 have been killed in Gaza.
22,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Palestinian,Israel,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,"Elsewhere, six Palestinians were killed in clashes with Israeli soldiers Sunday around the West Bank."
23,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Palestinian,Israel,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,An Israeli official said security forces have killed 400 militants and captured dozens more.
24,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Palestinian,Neither,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,"The Gaza Health Ministry said 413 people, including 78 children and 41 women, were killed in the territory."
25,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Israeli,Neither,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,"Several Israeli media outlets, citing rescue service officials, said at least 700 people have been killed in Israel, including 44 soldiers."
26,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Neither,Neither,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,"Another strike in the same city early Monday killed 11, including women and children."
27,2023-10-08 23:10:41,"Israel declares war, bombards Gaza and battles to dislodge Hamas fighters after surprise attack",World,Palestinian,Neither,https://www.thestar.com/news/world/israel-declares-war-bombards-gaza-and-battles-to-dislodge-hamas-fighters-after-surprise-attack/article_63fe1921-b40d-5515-a084-ca97cc543e45.html,"Nasser Abu Quta said 19 members of his family including his wife were killed when an airstrike hit their home, where they were huddling on the ground floor in the southern Gaza city of Rafah."
28,2023-10-08 9:00:00,A policeman in Egypt killed two Israelis and one Egyptian at a tourist site in Alexandria,Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/a-policeman-in-egypt-killed-two-israelis-and-one-egyptian-at-a-tourist-site-in/article_a50345b0-ca74-55a0-86e0-e29f136966f1.html," CAIRO (AP) — An Egyptian policeman opened fire Sunday on Israeli tourists in the Mediterranean city of Alexandria, killing at least two Israelis and one Egyptian, Israeli and Egyptian authorities said."
29,2023-10-09 0:40:00,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",Politics,Israeli,Neither,https://www.thestar.com/politics/canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for-thanksgiving/article_8a7c9648-9739-5280-95ef-079f926a0392.html,"The unprecedented attack has been called the deadliest on Israel in years, with the incursion and counteroffensive killing hundreds on both sides and injuring thousands more."
30,2023-10-09 0:40:00,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",Politics,Neither,Neither,https://www.thestar.com/politics/canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for-thanksgiving/article_8a7c9648-9739-5280-95ef-079f926a0392.html,"No further information about the identity of the Canadian who reportedly died, or the others who were missing, was included in the statement."
31,2023-10-09 0:40:00,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",Politics,Neither,Neither,https://www.thestar.com/politics/canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for-thanksgiving/article_8a7c9648-9739-5280-95ef-079f926a0392.html,"Global Affairs Canada, meanwhile, said in a statement Sunday afternoon that it was aware of reports of one Canadian who has died amid the fighting and two others who are missing."
32,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Palestinian,Israel,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,"The Palestinian Health Ministry said at least 400 Palestinians in the Gaza Strip had been killed and at least 1,700 wounded in Israeli strikes."
33,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Israeli,Neither,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,"Israeli media reported that at least 700 Israelis had been killed and 2,500 wounded."
34,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Neither,Neither,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,There are many questions now hanging over this weekend’s devastating events.
35,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Israeli,Hamas,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,"On Friday, Hamas, the militant Palestinian nationalist group that controls the Gaza Strip, also took Israel by surprise, launching an attack on the religious holidays Shemini Atzeret and Simchat Torah, again leading to numerous civilian and military deaths."
36,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Neither,Hamas,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,Hamas fighters killed civilians and took hostages.
37,2023-10-09 13:55:30,These are the questions that hang over the attack on Israel,Contributors,Neither,Neither,https://www.thestar.com/opinion/contributors/these-are-the-questions-that-hang-over-the-attack-on-israel/article_fa2d21be-fea0-509d-88b6-5e21add8e4e2.html,"Militarily, Hamas is much weaker than Israel and knows that, although it can exact immense damage in the short term, it has no prospects of defeating Israel, and will suffer far more death and destruction than it can exact."
38,2023-10-09 14:09:22,Vatican defends wartime Pope Pius XII as conference honors Israeli victims of Hamas incursion,World,Neither,Neither,https://www.thestar.com/news/world/vatican-defends-wartime-pope-pius-xii-as-conference-honors-israeli-victims-of-hamas-incursion/article_9777a615-8011-5684-8def-0a23ecb8e7a6.html,"Giovanni Coco, a researcher in the Vatican Apostolic Archives who recently uncovered evidence that Pius knew well that Jews were being sent to death camps in 1942, noted that Pius only spoke of the “extermination” of Jews once in public, in 1943."
39,2023-10-09 14:09:22,Vatican defends wartime Pope Pius XII as conference honors Israeli victims of Hamas incursion,World,Neither,Neither,https://www.thestar.com/news/world/vatican-defends-wartime-pope-pius-xii-as-conference-honors-israeli-victims-of-hamas-incursion/article_9777a615-8011-5684-8def-0a23ecb8e7a6.html,"Kertzer said while Pius “personally deplored” the German efforts to murder Italy’s Jews, his overall priority was to “maintain good relations with the occupying forces.” Rabbi Riccardo Di Segni, the chief rabbi of Rome, said it was one thing to offer a theological justification for the Catholic Church’s anti-Jewish prejudice that informed Pius actions and inactions and quite another to justify it morally."
40,2023-10-09 14:09:22,Vatican defends wartime Pope Pius XII as conference honors Israeli victims of Hamas incursion,World,Neither,Neither,https://www.thestar.com/news/world/vatican-defends-wartime-pope-pius-xii-as-conference-honors-israeli-victims-of-hamas-incursion/article_9777a615-8011-5684-8def-0a23ecb8e7a6.html,"David Kertzer, a Brown University anthropologist, cited several cases in which Dell’Acqua advised Pius against any public denunciation of the slaughter of European Jews or any official protest with German authorities about the 1943 roundup of Italy’s Jews, including “non-Aryan Catholics,” during the German occupation."
41,2023-10-09 18:32:15,"Montreal man among those killed in attack on Israel by Hamas militants, family says",Canada,Israeli,Hamas,https://www.thestar.com/news/canada/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says/article_819dbcf8-0d79-5eb8-833b-a186c038f7ce.html,"At least 260 people were killed and others were taken hostage after dozens of Hamas militants opened fire at the festival, in what’s been described as the worst civilian massacre in Israel’s history."
42,2023-10-09 18:32:15,"Montreal man among those killed in attack on Israel by Hamas militants, family says",Canada,Neither,Neither,https://www.thestar.com/news/canada/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says/article_819dbcf8-0d79-5eb8-833b-a186c038f7ce.html,"“I think that people are feeling a great sense of shock, a great sense of grief and also, I would say, a great sense of outrage at the callousness, the targeting of civilians, the premeditated, heinous murder of civilians,"" she said."
43,2023-10-09 18:32:15,"Montreal man among those killed in attack on Israel by Hamas militants, family says",Canada,Neither,Neither,https://www.thestar.com/news/canada/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says/article_819dbcf8-0d79-5eb8-833b-a186c038f7ce.html,"""They're killing my son as we speak,"" she recalled thinking."
44,2023-10-09 18:32:15,"Montreal man among those killed in attack on Israel by Hamas militants, family says",Canada,Israeli,Neither,https://www.thestar.com/news/canada/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says/article_819dbcf8-0d79-5eb8-833b-a186c038f7ce.html,Alain Haim Look said in a social media post that his son Alexandre Look was killed in Israel on Saturday while trying to save those around them.
45,2023-10-09 18:32:15,"Montreal man among those killed in attack on Israel by Hamas militants, family says",Canada,Neither,Neither,https://www.thestar.com/news/canada/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says/article_819dbcf8-0d79-5eb8-833b-a186c038f7ce.html,"Global Affairs Canada said in a statement Sunday afternoon that it was aware of reports of one Canadian who has died amid the fighting and two others who are missing, but has not yet confirmed the death."
46,2023-10-09 1:36:00,What went wrong? Questions emerge over Israel's intelligence prowess after Hamas attack,Middle East,Palestinian,Neither,https://www.thestar.com/news/world/middle-east/what-went-wrong-questions-emerge-over-israels-intelligence-prowess-after-hamas-attack/article_77ba5709-7fbc-52a7-925b-14f188f5234e.html,"It claimed to know the precise locations of Hamas leadership and appeared to prove it through the assassinations of militant leaders in surgical strikes, sometimes while they slept in their bedrooms."
47,2023-10-09 1:36:00,What went wrong? Questions emerge over Israel's intelligence prowess after Hamas attack,Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/what-went-wrong-questions-emerge-over-israels-intelligence-prowess-after-hamas-attack/article_77ba5709-7fbc-52a7-925b-14f188f5234e.html,"Israel has foiled plots seeded in the West Bank, allegedly hunted down Hamas operatives in Dubai and has been accused of killing Iranian nuclear scientists in the heart of Iran."
48,2023-10-09 1:36:00,What went wrong? Questions emerge over Israel's intelligence prowess after Hamas attack,Middle East,Israeli,Hamas,https://www.thestar.com/news/world/middle-east/what-went-wrong-questions-emerge-over-israels-intelligence-prowess-after-hamas-attack/article_77ba5709-7fbc-52a7-925b-14f188f5234e.html,"But Israel’s eyes appeared to have been closed in the lead-up to an unprecedented onslaught by the militant Hamas group, which broke down Israeli border barriers and sent hundreds of militants into Israel to carry out a brazen attack that has killed hundreds and pushed the region toward conflict."
