datetime,title,tag,url
2023-11-22 10:48:50.893,"Israeli official says talks continuing, hostage release won’t take place before Friday",world,https://www.theglobeandmail.com/world/article-israel-hamas-agree-to-free-hostages-over-four-day-ceasefire/
2023-11-22 01:59:25.182,Indigenous curator’s departure from AGO underscores tensions over Israel-Hamas war at art institutions ,arts,https://www.theglobeandmail.com/arts/article-indigenous-curator-ago-wanda-nanibush/
2023-11-21 10:11:58.325,Netanyahu asks Israeli government to back Hamas hostage deal,world,https://www.theglobeandmail.com/world/article-hamas-truce-israel-gaza-war-hostages/
2023-11-20 21:52:02.353,Relatives of Gaza hostages say stop talk of execution for Hamas detainees,world,https://www.theglobeandmail.com/world/article-relatives-of-gaza-hostages-say-stop-talk-of-execution-for-hamas/
2023-11-20 20:26:34.901,"Liberal, Conservative MPs visit Israel in show of solidarity",politics,https://www.theglobeandmail.com/politics/article-liberal-conservative-mps-visit-israel-in-show-of-solidarity/
2023-11-20 18:30:35.676,Vengeance in war is terrible – and nothing new,opinion,https://www.theglobeandmail.com/opinion/article-vengeance-in-war-is-terrible-and-nothing-new/
2023-11-20 12:02:27.448,China welcomes Arab and Muslim foreign ministers for talks on ending war in Gaza ,world,https://www.theglobeandmail.com/business/international-business/article-china-welcomes-arab-and-muslim-foreign-ministers-for-talks-on-ending/
2023-11-20 11:00:00.000,"In tight-knit community of Nir Oz, survivors of the massacre mourn those lost and a way of life that may never return      ",canada,https://www.theglobeandmail.com/canada/article-hamas-attack-nir-oz-kibbutz/
2023-11-20 10:39:54.413,Israel battles Hamas near another Gaza hospital sheltering thousands; premature babies evacuated to Egypt,world,https://www.theglobeandmail.com/world/article-gunfire-kills-wounds-dozens-in-gaza-hospital-encircled-by-israeli/
2023-11-20 01:11:18.730,Toronto man facing hate-related charges after alleged assaults on Muslims,canada,https://www.theglobeandmail.com/canada/article-toronto-man-facing-hate-related-charges-after-alleged-assaults-on/
2023-11-20 00:22:57.185,"Thirty-one premature babies are evacuated from Gaza’s largest hospital, but scores of trauma patients remain",world,https://www.theglobeandmail.com/world/article-31-premature-babies-are-evacuated-from-gazas-largest-hospital-but/
2023-11-19 22:27:14.955,Ontario school boards grapple with social media and free speech policies after educators’ posts on Israel-Hamas war ,canada,https://www.theglobeandmail.com/canada/article-ontario-educators-middle-east-conflict/
2023-11-19 18:04:19.446,"Israel says Houthis seize ship in Red Sea, no Israelis among owners or crew",world,https://www.theglobeandmail.com/world/article-israel-says-houthis-seize-ship-in-red-sea-no-israelis-among-owners-or/
2023-11-19 13:48:30.131,List of people cleared to leave Gaza Strip via Egypt includes 135 Canadians,canada,https://www.theglobeandmail.com/canada/article-list-of-people-cleared-to-leave-gaza-strip-via-egypt-includes-135/
2023-11-19 12:14:25.492,Israel-Hamas hostage deal edges closer despite fierce fighting in Gaza,world,https://www.theglobeandmail.com/world/article-hamas-battles-israeli-forces-in-north-gaza-hostage-deal-report-denied/
2023-11-18 15:00:00.000,How the Israel-Hamas war is dividing America,u.s. politics,https://www.theglobeandmail.com/world/us-politics/article-american-divisions-over-israel-hamas-war-grow-ugly/
2023-11-18 00:37:44.998,Public division over Israel-Hamas war spills into the arts world,books,https://www.theglobeandmail.com/arts/books/article-public-division-over-israel-hamas-war-spills-into-the-arts-world/
2023-11-18 00:27:04.843,RCMP investigates Imam who called for killing of Zionists at Montreal rally,politics,https://www.theglobeandmail.com/politics/article-rcmp-investigates-imam-who-called-for-killing-of-zionists-at-montreal/
2023-11-17 21:51:31.162,"A famous community, an ancient  hatred",opinion,https://www.theglobeandmail.com/canada/toronto/article-a-famous-community-an-ancient-hatred/
2023-11-17 21:45:29.983,"Israeli troops kill 5 Palestinians, including 3 militants, as West Bank violence surges",world,https://www.theglobeandmail.com/world/article-israeli-troops-kill-5-palestinians-including-3-militants-as-west-bank/
