,date,title,category,victim,responsible,url,sentence
18,2023-10-09 14:57:24,"Qatar in talks with Hamas, Israel to swap Israeli hostages for Palestinians in Israeli jails",report on business,Palestinian,Israel,https://www.theglobeandmail.com/business/article-qatar-in-talks-with-hamas-israel-to-swap-israeli-hostages-for/,"In Hamas-controlled Gaza, Israel has carried out its most intensive retaliatory strikes ever, killing more than 500 people since Saturday."
19,2023-10-09 14:57:24,"Qatar in talks with Hamas, Israel to swap Israeli hostages for Palestinians in Israeli jails",report on business,Palestinian,Israel,https://www.theglobeandmail.com/business/article-qatar-in-talks-with-hamas-israel-to-swap-israeli-hostages-for/,More than 500 Palestinians have been killed by Israeli strikes on Gaza.
20,2023-10-09 4:43:29,Several airlines suspend Tel Aviv flights until safety conditions improve,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-several-airlines-suspend-tel-aviv-flights-until-safety-conditions/,Israel’s Kan TV on Monday said the death toll from the Hamas attack had climbed to 800.
21,2023-10-09 4:43:29,Several airlines suspend Tel Aviv flights until safety conditions improve,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-several-airlines-suspend-tel-aviv-flights-until-safety-conditions/,"Fighters from the Islamist group killed 700 Israelis and abducted dozens in Saturday’s attacks, the deadliest such incursion in decades, prompting Israel to retaliate by pounding the Palestinian enclave of Gaza."
22,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Palestinian,Israel,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"A colleague carries a flak jacket belonging to Palestinian journalist Mohammed Soboh, who was killed along with two others by an Israeli missile.STAFF/Reuters 20 of 23."
23,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"More than 1,200 people were killed by Hamas in total."
24,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Both,Israel,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Israel is hammering Gaza in retaliation for a surprise attack by Hamas militants on Israeli soil on Saturday, with fighting causing the deaths of at least 1,800 people so far."
25,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Speaking two days after the launch of the massive surprise attack, which had killed more than 900 people in Israel and wounded 2,400 others as of Monday, Israeli Prime Minister Benjamin Netanyahu vowed to punish Hamas."
26,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,Israel orders ‘full siege’ of Gaza ahead of counteroffensive while Hamas threatens to execute hostages.
27,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Palestinian,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"In Gaza and the West Bank, 704 people have been killed, according to authorities there; Israel says hundreds of Hamas fighters are among them."
28,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,The Israeli military said more than 900 people have been killed in Israel.
29,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"In the south, Israeli warplanes hammered Gaza, reducing entire buildings to rubble throughout the fourth day of an all-out war that began on Saturday when Hamas, the Islamist militant group that controls Gaza, launched a surprise attack that killed more than 1,000 Israelis."
